Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,0.545,0.525,0.518,0.509,0.520,0.519,0.515,0.524,0.517,0.511,0.496,0.501
2016,0.522,0.522,0.512,0.521,0.525,0.529,0.543,0.546,0.547,0.523,0.507,0.503
2017,0.530,0.526,0.531,0.516,0.517,0.507,0.512,0.512,0.505,0.500,0.469,0.462
2018,0.471,0.470,0.468,0.472,0.469,0.469,0.468,0.464,0.467,0.453,0.433,0.437
2019,0.439,0.443,0.445,0.434,0.454,0.448,0.454,0.450,0.449,0.432,0.417,0.429
2020,0.438,0.438,0.442,,0.461,0.468,0.461,0.459,0.451,0.452,0.445,0.450
2021,0.446,0.440,0.436,0.437,0.439,0.356,0.368,0.371,0.382,0.396,0.386,0.388
2022,0.424,0.428,0.448,0.455,0.456,0.498,0.533,0.549,0.556,0.534,0.524,0.522
2023,0.540,0.550,0.546,0.542,0.544,0.551,0.564,0.566,0.565,0.562,0.541,0.538
2024,0.554,0.558,0.565,0.574,0.570,0.575,0.574,0.574,0.573,0.566,0.552,0.548
